カテゴリ,ID,名前,レア度,タイプ,コスト(Lv1/2/3),価格,属性,説明
"スキル: 変換（1色→1色）","fired","焔変換","1","skill","2","5","fire","風を炎に変換。消費E:2"
"スキル: 変換（1色→1色）","waterd","氷変換","1","skill","2","5","water","炎を雨に変換。消費E:2"
"スキル: 変換（1色→1色）","woodd","嵐変換","1","skill","2","5","wood","雨を風に変換。消費E:2"
"スキル: 変換（1色→1色）","lightd","雷変換","1","skill","2","5","light","月を雷に変換。消費E:2"
"スキル: 変換（1色→1色）","darkd","影変換","1","skill","2","5","dark","雷を月に変換。消費E:2"
"スキル: 変換（1色→1色）","heartd","癒変換","1","skill","2","5","heart","炎をハートに変換。消費E:2"
"スキル: 変換（1色→1色）","conv_h_f","癒の劫炎","1","skill","2","5","fire, heart","ハートを炎に変換。消費E:2"
"スキル: 変換（1色→1色）","conv_h_w","癒の奔流","1","skill","2","5","water, heart","ハートを雨に変換。消費E:2"
"スキル: 変換（1色→1色）","conv_h_g","癒の深風","1","skill","2","5","wood, heart","ハートを風に変換。消費E:2"
"スキル: 変換（1色→1色）","conv_h_l","癒の聖雷","1","skill","2","5","light, heart","ハートを雷に変換。消費E:2"
"スキル: 変換（1色→1色）","conv_h_d","癒の呪法","1","skill","2","5","dark, heart","ハートを月に変換。消費E:2"
"スキル: 消滅（1色を全消去）","erase_fire","焔の消滅","3","skill","1","31","fire","盤面上の炎ドロップを全て削除し、削除分コンボ追加（特殊は2倍、Lvに応じて1/2/3倍）。累計30個消去ごとに、盤面を全てプラス炎にし1ターン基礎コンボを[3/4/5]倍にする。消費E:1"
"スキル: 消滅（1色を全消去）","erase_water","雨の消滅","3","skill","1","31","water","盤面上の雨ドロップを全て削除し、削除分コンボ追加（特殊は2倍、Lvに応じて1/2/3倍）。累計30個消去ごとに、盤面を全てプラス雨にしリピートドロップを[3/4/5]個生成する。消費E:1"
"スキル: 消滅（1色を全消去）","erase_wood","風の消滅","3","skill","1","31","wood","盤面上の風ドロップを全て削除し、削除分コンボ追加（特殊は2倍、Lvに応じて1/2/3倍）。累計30個消去ごとに、盤面を全てプラス風にし所持スター数を[2/2.5/3]倍にする。消費E:1"
"スキル: 消滅（1色を全消去）","erase_light","雷の消滅","3","skill","1","31","light","盤面上の雷ドロップを全て削除し、削除分コンボ追加（特殊は2倍、Lvに応じて1/2/3倍）。累計30個消去ごとに、盤面を全てプラス雷にしランダムなトークンを[3/4/5]個レベルアップする。消費E:1"
"スキル: 消滅（1色を全消去）","erase_dark","月の消滅","3","skill","1","31","dark","盤面上の月ドロップを全て削除し、削除分コンボ追加（特殊は2倍、Lvに応じて1/2/3倍）。累計30個消去ごとに、盤面を全てプラス月にしサイクルの手番を[+1/+2/+3]回する。消費E:1"
"スキル: 整理（1色を上部へ）","org_fire","焔の整理","1","skill","3/2/1","9","fire","盤面上の炎ドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 整理（1色を上部へ）","org_water","雨の整理","1","skill","3/2/1","9","water","盤面上の雨ドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 整理（1色を上部へ）","org_wood","風の整理","1","skill","3/2/1","9","wood","盤面上の風ドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 整理（1色を上部へ）","org_light","雷の整理","1","skill","3/2/1","9","light","盤面上の雷ドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 整理（1色を上部へ）","org_dark","月の整理","1","skill","3/2/1","9","dark","盤面上の月ドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 整理（1色を上部へ）","org_heart","癒の整理","1","skill","3/2/1","9","heart","盤面上のハートドロップを左上から順に整列させる。他のドロップは下・右に詰める。消費E:3/2/1"
"スキル: 多色変換（2色→1色）","conv_m_fd_w","業水の洗礼","1","skill","4","9","water","炎と月を雨に変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_fd_l","炎雷の洗礼","1","skill","4","9","light","炎と月を雷に変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_wh_f","紅蓮の洗礼","1","skill","4","9","fire","雨とハートを炎に変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_wh_g","蒼風の洗礼","1","skill","4","9","wood","雨とハートを風に変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_gl_d","神緑の洗礼","1","skill","4","9","dark","風と雷を月に変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_gl_h","天恵の洗礼","1","skill","4","9","heart","風と雷をハートに変換。消費E:4"
"スキル: 多色変換（2色→1色）","conv_m_fw_g","天地の洗礼","1","skill","4","9","wood","炎と雨を風に変換。消費E:4"
