ID,名前,レア度,価格,効果タイプ,効果値,パラメータ,アイコン,説明
"resonance","レベル共鳴","2","30","lvl_mult","2","-","layers","トークンのレベルに応じてコンボ倍率が増加する（レベル1ごとにコンボ倍率+2）。"
"greed","強欲の輝き","3","34","star_add","2","-","monetization_on","現在の所持★数の2倍をコンボ加算値に加える。"
"chain","連鎖の刻印","1","22","fixed_add","5","-","link","コンボ加算値を一律+5する。"
"extra_turn","時の刻印","2","28","add_turn","2","-","add_alarm","目標達成までの手番が +2 される。"
"time_leap","時の跳躍","2","28","skip_turn_combo","3","-","restore","前のサイクルでスキップしたターン数×3、次のサイクルの全ターンでコンボ加算。"
"combo_fire","炎の加護","3","24","color_combo","2","{""color"":""fire""}","whatshot","炎の1コンボにつきコンボ+2。"
"combo_water","雨の加護","3","24","color_combo","2","{""color"":""water""}","water_drop","雨の1コンボにつきコンボ+2。"
"combo_wood","森の加護","3","24","color_combo","2","{""color"":""wood""}","eco","風の1コンボにつきコンボ+2。"
"combo_light","雷の加護","3","24","color_combo","2","{""color"":""light""}","bolt","雷の1コンボにつきコンボ+2。"
"combo_dark","月の加護","3","24","color_combo","2","{""color"":""dark""}","brightness_2","月の1コンボにつきコンボ+2。"
"combo_heart","癒の加護","3","24","color_combo","2","{""color"":""heart""}","favorite","ハートの1コンボにつきコンボ+2。"
"enh_drop_fire","炎の強化落下","3","24","enhance_chance_color","0.2","{""color"":""fire""}","auto_fix_high","炎ドロップが20%強化で落下。"
"enh_drop_water","雨の強化落下","3","24","enhance_chance_color","0.2","{""color"":""water""}","auto_fix_high","雨ドロップが20%強化で落下。"
"enh_drop_wood","風の強化落下","3","24","enhance_chance_color","0.2","{""color"":""wood""}","auto_fix_high","風ドロップが20%強化で落下。"
"enh_drop_light","雷の強化落下","3","24","enhance_chance_color","0.2","{""color"":""light""}","auto_fix_high","雷ドロップが20%強化で落下。"
"enh_drop_dark","月の強化落下","3","24","enhance_chance_color","0.2","{""color"":""dark""}","auto_fix_high","月ドロップが20%強化で落下。"
"enh_drop_heart","ハートの強化落下","3","24","enhance_chance_color","0.2","{""color"":""heart""}","auto_fix_high","ハートドロップが20%強化で落下。"
"sf_up_fire","炎の呼び声","3","24","skyfall_boost","-","{""color"":""fire""}","keyboard_double_arrow_down","炎ドロップが少し落ちやすくなる。"
"sf_up_water","雨の呼び声","3","24","skyfall_boost","-","{""color"":""water""}","keyboard_double_arrow_down","雨ドロップが少し落ちやすくなる。"
"sf_up_wood","森の呼び声","3","24","skyfall_boost","-","{""color"":""wood""}","keyboard_double_arrow_down","風ドロップが少し落ちやすくなる。"
"sf_up_light","雷の呼び声","3","24","skyfall_boost","-","{""color"":""light""}","keyboard_double_arrow_down","雷ドロップが少し落ちやすくなる。"
"sf_up_dark","月の呼び声","3","24","skyfall_boost","-","{""color"":""dark""}","keyboard_double_arrow_down","月ドロップが少し落ちやすくなる。"
"sf_up_heart","癒の呼び声","3","24","skyfall_boost","-","{""color"":""heart""}","keyboard_double_arrow_down","ハートドロップが少し落ちやすくなる。"
"sf_down_fire","炎の静寂","3","24","skyfall_nerf","-","{""color"":""fire""}","keyboard_double_arrow_up","炎ドロップが少し落ちにくくなる。"
"sf_down_water","雨の静寂","3","24","skyfall_nerf","-","{""color"":""water""}","keyboard_double_arrow_up","雨ドロップが少し落ちにくくなる。"
"sf_down_wood","森の静寂","3","24","skyfall_nerf","-","{""color"":""wood""}","keyboard_double_arrow_up","風ドロップが少し落ちにくくなる。"
"sf_down_light","雷の静寂","3","24","skyfall_nerf","-","{""color"":""light""}","keyboard_double_arrow_up","雷ドロップが少し落ちにくくなる。"
"sf_down_dark","月の静寂","3","24","skyfall_nerf","-","{""color"":""dark""}","keyboard_double_arrow_up","月ドロップが少し落ちにくくなる。"
"sf_down_heart","癒の静寂","3","24","skyfall_nerf","-","{""color"":""heart""}","keyboard_double_arrow_up","ハートドロップが少し落ちにくくなる。"
"opener","先制の心得","3","28","turn_1_bonus","30","-","login","サイクルの1ターン目のみ、コンボ+30。"
"clutch","土壇場の底力","3","30","last_turn_mult","4","-","emergency","サイクルの最終ターンのみ、コンボ倍率にプラス3。"
"rainbow","虹色の加護","3","30","multi_color","7","-","palette","4色以上同時消しで、コンボ+7。"
"sniper","一点突破","3","28","single_color","3","-","gps_fixed","消した色が2色以下の場合、コンボ倍率にプラス2。"
"haste","疾風の刻印","3","28","time_ext_enc","4","-","speed","操作時間を+4秒延長する。"
"quick_charge","急速チャージ","3","30","charge_boost_passive","-","-","bolt","スキルのチャージ速度が2倍になる。"
"critical","会心の一撃","3","30","critical_strike","20","-","flash_on","20%の確率で、この補正倍率が20倍になる。"
"gamble","運命の悪戯","2","22","random_bonus","-","-","casino","ターンごとに -5〜+15 のランダムなコンボ加算。"
"rarity_up","幸運の星","1","28","rarity_up","-","-","stars","ショップにレア度の高いトークンが出やすくなる。"
"rarity_down_combo","流星の約束","1","28","rarity_down_combo","-","-","brightness_low","ショップにレア度の高いトークンが出にくくなるが、コンボ数+1。"
"shape_match4","四連の極意","3","24","shape_match4","2","-","category","4つ消し1つにつき、コンボ倍率にプラス1。"
"shape_cross","十字の極意","3","24","shape_cross","3","-","category","十字消し1つにつき、コンボ倍率にプラス2。"
"shape_row","一列の極意","3","24","shape_row","3","-","category","横一列消し1つにつき、コンボ倍率にプラス2。"
"shape_l","L字の極意","3","24","shape_l","3","-","category","L字消し1つにつき、コンボ倍率にプラス2。"
"shape_square","正方形の極意","3","24","shape_square","4","-","category","正方形消し1つにつき、コンボ倍率にプラス3。"
"efficiency","魔力節約","3","30","cost_down","-","-","savings","このスキルの消費エネルギーを-1する(最小1)。"
"berserk","狂戦士の刻印","3","30","berserk_mode","4","-","dangerous","操作時間-1秒、コンボ倍率にプラス3。"
"aftershock","追撃の心得","3","28","skyfall_mult","4","-","waves","落ちコン発生時、最終コンボ倍率にプラス3。"
"investment","資産価値","2","18","high_sell","-","-","account_balance_wallet","このトークンの売却価格が購入価格の300%になる。"
"enc_bonus_fire","炎の連舞","3","24","color_multiplier_enc","3","{""color"":""fire""}","animation","炎を消しているとコンボ倍率にプラス2。"
"enc_bonus_water","雨の連舞","3","24","color_multiplier_enc","3","{""color"":""water""}","animation","雨を消しているとコンボ倍率にプラス2。"
"enc_bonus_wood","風の連舞","3","24","color_multiplier_enc","3","{""color"":""wood""}","animation","風を消しているとコンボ倍率にプラス2。"
"enc_bonus_light","雷の連舞","3","24","color_multiplier_enc","3","{""color"":""light""}","animation","雷を消しているとコンボ倍率にプラス2。"
